TABLE 9. NUTRITION: BREASTFEEDING AND DIETS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Countries and areas,"Infant and Young Child Feeding (0−23 months)
2018–2024 (R)",,,,,,,,,,,,,,,,,,,,,,,
,Early initiation of breastfeeding (%),,Exclusive breastfeeding (<6 months) (%),,"Introduction to solid, semi-sold or soft foods (6−8 months)",,Continued breastfeeding (12–23 months) (%),,,,,,Percentage of children consuming (6–23 months) (%),,,,,,Minimum meal frequency (6–23 months) (%),,Minimum acceptable diet (6–23 months) (%),,Zero vegetable or fruit consumption (6–23 months) (%),
,,,,,,,All children,,Poorest 20%,,Richest 20%,,<=2 food groups (severe food poverty),,3−4 food groups (moderate food poverty),,At least 5 food groups (minimum dietary diversity),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DEFINITIONS OF THE INDICATORS,,,,,,,,,,,,,,,,,,,,,,,,
Early initiation of breastfeeding – Percentage of children born in the last 24 months who were put to the breast within one hour of birth.,,,,,,,,,,,,,,,,,,,,,,,,
Exclusive breastfeeding (<6 months) – Percentage of infants 0–5 months of age who were fed exclusively with breastmilk during the previous day.,,,,,,,,,,,,,,,,,,,,,,,,
Continued breastfeeding (12–23 months) – Percentage of children 12–23 months of age who were fed with breastmilk during the previous day.,,,,,,,,,,,,,,,,,,,,,,,,
Severe child food poverty (6–23 months) – Percentage of children 6–23 months of age who received foods from less than or equal to two out of eight defined food groups during the previous day,,,,,,,,,,,,,,,,,,,,,,,,
Moderate child food poverty (6–23 months) – Percentage of children 6–23 months of age who received foods from three or four out of eight defined food groups during the previous day.,,,,,,,,,,,,,,,,,,,,,,,,
"Introduction of solid, semi–solid or soft foods (6–8 months) – Percentage of infants 6–8 months of age who were fed with solid, semi–solid or soft food during the previous day.",,,,,,,,,,,,,,,,,,,,,,,,
Minimum Dietary Diversity (6–23 months) – Percentage of children 6–23 months of age who received foods from at least five out of eight defined food groups during the previous day.,,,,,,,,,,,,,,,,,,,,,,,,
"Minimum Meal Frequency (6–23 months) – Percentage of children 6–23 months of age who received solid, semi–solid, or soft foods (but also including milk feeds for non–breastfed children) the minimum number of times or more during the previous day.",,,,,,,,,,,,,,,,,,,,,,,,
Minimum Acceptable Diet (6–23 months) – Percentage of children 6–23 months of age who received a minimum acceptable diet during the previous day.,,,,,,,,,,,,,,,,,,,,,,,,
Zero vegetable or fruit consumption (6–23 months) – Percentage of children 6–23 months of age who did not consume any vegetables or fruits during the previous day.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MAIN DATA SOURCES,,,,,,,,,,,,,,,,,,,,,,,,
"Infant and young child feeding (0–23 months) – DHS, MICS and other national household surveys. Last update: 2025.",,,,,,,,,,,,,,,,,,,,,,,,
